country_name,country_code,year,total_reserves,reserves_excluding_gold,gdp_per_capita,gdp_per_capita_growth,inflation,trade_share_gdp,manufacturing_share_gdp,fuel_exports_share,private_credit_share_gdp,political_stability,gold_reserves,gold_share,brics_dummy,group,gold_share_lag1,gdp_per_capita_lag1,gdp_per_capita_growth_lag1,inflation_lag1,trade_share_gdp_lag1,manufacturing_share_gdp_lag1,fuel_exports_share_lag1,private_credit_share_gdp_lag1,political_stability_lag1,delta_gold_share
Mexico,MEX,2007,87208175923.3125,87109236213.9551,10134.332713811855,0.6507887006850268,3.966849054582353,55.25852439444983,18.262375783566494,15.671082896732177,20.43946980493443,-0.729851603507996,98939709.35740662,0.11345233208914995,0,Non-BRICS,0.07706231959017792,9512.635753466991,3.3957767754231156,3.629467624391321,54.48211608861695,18.999029901736357,15.456746415012743,18.351891672796857,-0.636888444423676,0.03639001249897203
Mexico,MEX,2008,95299838182.85129,95126103498.6517,10523.768540324385,-0.5198899251839748,5.124982745758964,56.36528188625734,18.17491375218027,17.223162731177734,19.75537532216192,-0.804012358188629,173734684.19958496,0.1823032310571621,0,Non-BRICS,0.11345233208914995,10134.332713811855,0.6507887006850268,3.966849054582353,55.25852439444983,18.262375783566494,15.671082896732177,20.43946980493443,-0.729851603507996,0.06885089896801214
Mexico,MEX,2009,99888815494.34529,99589209742.5811,8423.569332147112,-7.655171731180758,5.297355842288558,54.59174213135025,17.433198703219276,13.278127922011308,21.611922564818205,-0.686627805233002,299605751.7641907,0.2999392377229174,0,Non-BRICS,0.1823032310571621,10523.768540324385,-0.5198899251839748,5.124982745758964,56.36528188625734,18.17491375218027,17.223162731177734,19.75537532216192,-0.804012358188629,0.11763600666575533
Mexico,MEX,2010,120584016515.123,120264990360.51,9728.800783770816,3.47084287436401,4.156727226801737,59.27338452938514,17.83821391637331,13.768244466265008,22.32377502576339,-0.726463437080383,319026154.6130066,0.26456753045126513,0,Non-BRICS,0.2999392377229174,8423.569332147112,-7.655171731180758,5.297355842288558,54.59174213135025,17.433198703219276,13.278127922011308,21.611922564818205,-0.686627805233002,-0.035371707271652286
Mexico,MEX,2011,149208113907.362,143990797078.067,10664.49440323125,1.990263277998892,3.407378246057421,62.16238727644977,17.7203860209063,15.945239473681113,23.584832838734528,-0.667768597602844,5217316829.295013,3.4966709870310804,0,Non-BRICS,0.26456753045126513,9728.800783770816,3.47084287436401,4.156727226801737,59.27338452938514,17.83821391637331,13.768244466265008,22.32377502576339,-0.726463437080383,3.2321034565798152
Mexico,MEX,2012,167075785316.03702,160413365459.75098,10744.133524268636,2.157318304569799,4.111509810702894,64.25793189001133,18.800035439264605,14.071610213562153,24.92705638101714,-0.662454187870026,6662419856.286041,3.9876633491104343,0,Non-BRICS,3.4966709870310804,10664.49440323125,1.990263277998892,3.407378246057421,62.16238727644977,17.7203860209063,15.945239473681113,23.584832838734528,-0.667768597602844,0.49099236207935393
Mexico,MEX,2013,180200033349.65802,175432415284.167,11216.800850542808,-0.44781073827849127,3.806390697472044,62.69167477358071,18.10280963348126,12.81218295226885,27.859059328803998,-0.714223802089691,4767618065.491028,2.6457365056309383,0,Non-BRICS,3.9876633491104343,10744.133524268636,2.157318304569799,4.111509810702894,64.25793189001133,18.800035439264605,14.071610213562153,24.92705638101714,-0.662454187870026,-1.341926843479496
Mexico,MEX,2014,195681624545.922,190923190993.428,11391.3773497683,1.2709142053195137,4.018616080786787,64.09840903512153,18.228921742184287,10.412228760267663,28.183682107647368,-0.853918790817261,4758433552.493988,2.4317222240646785,0,Non-BRICS,2.6457365056309383,11216.800850542808,-0.44781073827849127,3.806390697472044,62.69167477358071,18.10280963348126,12.81218295226885,27.859059328803998,-0.714223802089691,-0.2140142815662598
Mexico,MEX,2015,177596632552.62402,173457747218.176,10021.238611882723,1.6097101058542904,2.720640649640229,70.41297467626399,19.823421393711165,5.890785791298349,30.830497867409708,-0.801780104637146,4138885334.4480286,2.3304976423027766,0,Non-BRICS,2.4317222240646785,11391.3773497683,1.2709142053195137,4.018616080786787,64.09840903512153,18.228921742184287,10.412228760267663,28.183682107647368,-0.853918790817261,-0.10122458176190197
Mexico,MEX,2016,177973637254.61,173535819121.603,9097.923976747688,0.7909552161025317,2.821707847476604,75.69030340885506,19.868775797934248,4.822767138096553,32.95084238661665,-0.633718132972717,4437818133.006989,2.4935255588771406,0,Non-BRICS,2.3304976423027766,10021.238611882723,1.6097101058542904,2.720640649640229,70.41297467626399,19.823421393711165,5.890785791298349,30.830497867409708,-0.801780104637146,0.163027916574364
Mexico,MEX,2017,175469669183.544,170458364362.543,9649.278167724024,0.9234253586912047,6.041457240189856,76.95212604072537,20.161822419944322,5.507745303912617,34.3431256723362,-0.806419789791107,5011304821.001007,2.8559379203930133,0,Non-BRICS,2.4935255588771406,9097.923976747688,0.7909552161025317,2.821707847476604,75.69030340885506,19.868775797934248,4.822767138096553,32.95084238661665,-0.633718132972717,0.36241236151587275
Mexico,MEX,2018,176390278595.584,171444902467.495,10084.793756202112,1.0113662168676427,4.899350153565507,80.21266165689752,20.18936570045326,6.567821180480801,33.615217813764076,-0.673847019672394,4945376128.08902,2.803655715872784,0,Non-BRICS,2.8559379203930133,9649.278167724024,0.9234253586912047,6.041457240189856,76.95212604072537,20.161822419944322,5.507745303912617,34.3431256723362,-0.806419789791107,-0.052282204520229136
Mexico,MEX,2019,183056094117.556,177176653572.28,10369.555358527137,-1.3346217688336708,3.635961421270462,77.4619722571128,19.88775426585224,5.321605150605974,35.58518648709328,-0.841869175434113,5879440545.276001,3.21182453587167,0,Non-BRICS,2.803655715872784,10084.793756202112,1.0113662168676427,4.899350153565507,80.21266165689752,20.18936570045326,6.567821180480801,33.615217813764076,-0.673847019672394,0.408168819998886
